,Unnamed: 0,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun,name,km^2,bev,m,w,dichte,plz,longitude,latitude,reiseGebiete,verstädterung
0,0,2016-01-23,4.2,0.0,7.0,,,,5.3,,,,,,,,,,,,,,
1,1,2016-01-30,7.6,3.0,9.0,,,232.1,12.4,,,,,,,,,,,,,,
2,2,2016-01-31,6.0,2.0,10.0,,,,7.8,,,,,,,,,,,,,,
3,3,2016-02-06,10.2,7.0,14.0,,,,7.8,,,,Neumünster,71.66,80196.0,39723.0,40473.0,1119.0,24534,"9,988422","54,069895",übrig. Schleswig-Holstein,dicht besiedelt
4,4,2016-02-07,9.9,8.0,12.0,,,193.3,9.5,,,,,,,,,,,,,,
5,5,2016-03-19,5.8,5.0,7.0,,,,6.8,,,,,,,,,,,,,,
6,6,2016-03-20,5.9,5.0,8.0,,,,8.2,,,,,,,,,,,,,,
7,7,2016-04-16,12.3,10.0,16.0,,,,6.3,,,,,,,,,,,,,,
8,8,2016-07-02,16.9,13.0,20.0,,,,6.6,,,,,,,,,,,,,,
9,9,2016-07-09,21.6,18.0,26.0,,,,5.1,,,,,,,,,,,,,,
10,10,2016-07-16,17.4,13.0,22.0,,,,3.2,,,,,,,,,,,,,,
11,11,2016-08-06,18.8,13.0,24.0,,,,5.2,,,,,,,,,,,,,,
12,12,2016-08-13,21.8,15.0,28.0,,,,6.7,,,,,,,,,,,,,,
13,13,2016-08-27,26.7,19.0,35.0,,,,3.8,,,,,,,,,,,,,,
14,14,2016-09-03,22.0,15.0,28.0,,,,5.5,,,,,,,,,,,,,,
15,15,2016-09-10,21.3,14.0,29.0,,,,3.8,,,,,,,,,,,,,,
16,16,2016-09-17,17.0,12.0,22.0,,,,6.2,,,,,,,,,,,,,,
17,17,2016-09-24,15.7,10.0,24.0,,,,4.7,,,,,,,,,,,,,,
18,18,2016-10-01,13.7,12.0,17.0,,,,4.5,,,,,,,,,,,,,,
19,19,2016-10-02,13.3,12.0,15.0,,,,8.2,,,,,,,,,,,,,,
20,20,2016-10-03,12.6,11.0,16.0,,,,6.0,,,,,,,,,,,,,,
21,21,2016-10-08,9.7,8.0,13.0,,,,,,,,,,,,,,,,,,
