,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wspt,pres,tsun
0,2015-01-02,0.0,-2.8,1.0,4.7,240.0,250.4,24.5,62.6,1034.2,18.0
1,2015-01-03,2.2,-0.2,6.6,49.0,160.0,253.3,20.5,91.1,1026.5,0.0
2,2015-01-04,-0.9,-3.9,1.0,0.0,60.0,294.6,11.9,30.2,1033.9,66.0
3,2015-01-05,-1.4,-6.0,5.4,0.0,60.0,225.4,9.4,22.0,1034.7,438.0
4,2015-01-06,2.7,-2.5,8.6,0.6,60.0,244.6,12.2,48.2,1025.5,372.0
5,2015-01-07,0.1,-1.0,1.4,0.4,60.0,256.7,10.8,35.3,1030.8,144.0
6,2015-01-08,3.5,1.4,5.0,9.5,50.0,254.2,24.1,78.1,1029.2,0.0
7,2015-01-09,4.4,2.4,8.4,21.3,0.0,255.8,32.0,84.2,1027.9,0.0
8,2015-01-10,8.5,3.7,10.0,31.8,0.0,254.6,34.2,83.2,1019.3,90.0
9,2015-01-11,0.0,-0.9,3.6,4.9,40.0,270.8,31.7,65.5,1024.0,30.0
10,2015-01-12,1.4,-0.4,4.3,0.0,20.0,246.3,22.7,61.9,1025.9,60.0
11,2015-01-13,6.7,2.1,10.4,6.4,10.0,238.3,20.2,64.4,1015.9,450.0
12,2015-01-14,2.2,0.0,6.6,9.7,0.0,254.2,24.1,81.7,1016.8,0.0
13,2015-01-15,4.9,1.1,8.0,2.1,10.0,221.7,18.0,55.1,1010.8,0.0
14,2015-01-16,4.3,0.5,7.2,17.1,0.0,232.1,13.0,46.8,1007.6,0.0
15,2015-01-17,-0.1,-2.4,0.6,2.4,0.0,264.2,10.8,27.4,1015.9,0.0
16,2015-01-18,-2.7,-5.0,-1.6,0.0,0.0,187.1,9.4,25.6,1017.9,132.0
17,2015-01-19,-1.6,-5.2,0.5,4.0,0.0,224.2,9.7,28.1,1012.2,6.0
18,2015-01-20,-1.6,-3.0,-0.5,0.7,40.0,212.5,6.8,16.9,1011.7,0.0
19,2015-01-21,-2.6,-3.1,-1.9,0.0,30.0,96.7,11.5,28.1,1011.0,0.0
20,2015-01-22,-3.1,-3.7,-2.5,0.0,20.0,110.0,6.8,21.2,1014.1,0.0
21,2015-01-23,-2.5,-3.3,-1.9,0.1,20.0,210.8,5.4,13.7,1022.8,0.0
22,2015-01-24,-3.0,-3.7,-2.3,1.9,20.0,265.8,12.6,39.6,1023.5,0.0
23,2015-01-25,-2.3,-3.1,-0.6,0.3,40.0,308.3,12.2,54.7,1030.3,0.0
24,2015-01-26,-2.1,-2.7,-0.7,5.1,40.0,248.8,16.9,43.6,1025.4,0.0
25,2015-01-27,-1.3,-2.0,-0.3,1.6,90.0,281.3,19.8,43.9,1024.0,12.0
26,2015-01-28,-1.1,-2.3,0.4,6.9,100.0,247.9,20.5,75.6,1015.1,0.0
27,2015-01-29,-1.0,-2.7,0.2,22.2,110.0,245.8,22.7,64.1,993.1,0.0
28,2015-01-30,-2.4,-4.5,0.1,8.8,310.0,255.8,24.5,83.5,979.8,60.0
29,2015-01-31,-2.5,-4.2,-0.5,5.6,410.0,249.6,15.1,40.3,985.8,72.0
30,2015-02-01,-2.6,-3.3,-1.6,12.9,450.0,248.3,18.4,49.7,993.1,36.0
31,2015-02-02,-3.3,-8.1,-1.4,8.5,570.0,274.6,20.2,51.1,1002.7,6.0
32,2015-02-03,-6.0,-9.4,-1.7,0.0,640.0,138.8,7.9,17.3,1005.6,384.0
33,2015-02-04,-6.3,-8.2,-5.2,0.0,570.0,51.7,9.7,24.5,1012.4,0.0
34,2015-02-05,-6.3,-6.8,-5.7,0.1,510.0,56.7,22.0,55.1,1016.1,0.0
35,2015-02-06,-6.4,-8.1,-4.4,0.0,490.0,64.6,29.9,62.6,1019.8,54.0
36,2015-02-07,-7.3,-10.0,-3.5,0.1,460.0,73.3,14.8,40.3,1028.4,414.0
37,2015-02-08,-3.8,-8.1,-2.0,1.4,440.0,312.9,14.0,38.5,1029.1,48.0
38,2015-02-09,-3.6,-5.5,-1.8,1.1,430.0,265.4,15.8,43.2,1032.3,36.0
39,2015-02-10,-1.1,-2.7,0.7,0.0,410.0,147.1,11.5,31.3,1030.9,0.0
40,2015-02-11,-2.2,-4.4,0.6,0.1,390.0,110.0,7.2,22.0,1027.1,198.0
41,2015-02-12,1.1,-3.6,8.2,0.1,370.0,214.2,8.3,18.4,1023.2,552.0
42,2015-02-13,3.7,-1.9,8.2,0.0,350.0,236.3,11.9,28.8,1018.1,510.0
43,2015-02-14,3.4,-1.4,6.8,0.1,320.0,180.4,11.9,41.0,1010.9,288.0
44,2015-02-15,0.2,-3.5,4.5,0.0,280.0,132.5,6.8,16.2,1012.3,102.0
45,2015-02-16,-1.6,-5.9,3.7,0.0,280.0,185.0,5.0,14.0,1020.0,534.0
46,2015-02-17,-2.2,-5.4,1.1,0.0,270.0,139.2,8.3,29.5,1032.3,516.0
47,2015-02-18,-2.9,-3.9,-1.9,0.0,270.0,84.6,10.8,32.4,1040.0,0.0
48,2015-02-19,-1.4,-5.2,4.5,0.0,260.0,213.8,11.2,41.8,1031.7,342.0
49,2015-02-20,4.3,0.0,8.6,0.8,260.0,222.5,16.2,48.2,1016.3,576.0
50,2015-02-21,1.0,-0.7,4.1,7.3,210.0,248.3,15.1,54.4,1002.8,0.0
51,2015-02-22,-0.8,-2.7,0.7,0.1,220.0,268.8,7.9,18.7,1010.3,0.0
52,2015-02-23,-0.3,-4.0,2.5,16.8,210.0,225.0,16.6,49.0,1003.5,0.0
53,2015-02-24,-0.1,-1.1,0.9,0.7,260.0,251.7,14.8,50.0,1010.9,0.0
54,2015-02-25,0.1,-3.4,4.6,0.5,250.0,242.1,9.4,27.4,1020.4,312.0
55,2015-02-26,1.6,-4.4,5.9,1.6,240.0,187.5,11.2,28.8,1019.5,558.0
56,2015-02-27,0.5,-0.9,2.0,2.7,240.0,248.8,13.0,37.1,1014.3,0.0
57,2015-02-28,-0.1,-3.2,4.1,2.7,250.0,232.1,8.6,25.9,1021.0,324.0
58,2015-03-01,2.9,-1.8,5.8,13.1,260.0,239.2,21.6,56.5,1010.5,0.0
59,2015-03-02,2.3,-0.8,6.8,9.8,140.0,262.9,27.4,77.8,1011.4,6.0
60,2015-03-03,1.8,-1.9,6.0,3.7,160.0,234.6,15.1,44.3,1022.7,414.0
61,2015-03-04,-0.2,-2.0,2.0,0.1,180.0,274.2,17.6,41.0,1028.1,294.0
62,2015-03-05,-0.3,-2.6,3.6,0.0,160.0,278.8,13.3,40.3,1036.6,288.0
63,2015-03-06,0.7,-4.8,6.0,0.0,150.0,177.1,7.9,25.6,1037.5,570.0
64,2015-03-07,3.2,-2.9,8.7,0.0,150.0,133.8,10.8,25.6,1033.1,516.0
65,2015-03-08,6.8,-0.5,14.4,0.0,130.0,148.8,9.4,21.2,1026.0,606.0
66,2015-03-09,7.6,3.3,12.9,0.0,110.0,205.0,9.7,24.8,1025.0,624.0
67,2015-03-10,6.0,1.5,11.0,0.8,90.0,275.0,11.5,25.6,1026.8,276.0
68,2015-03-11,3.3,-0.9,7.5,0.0,50.0,112.5,10.1,25.2,1028.8,498.0
69,2015-03-12,1.5,-1.8,6.0,0.0,30.0,87.1,13.3,41.8,1028.9,546.0
70,2015-03-13,0.1,-3.7,5.4,0.0,0.0,79.6,11.2,28.4,1022.8,600.0
71,2015-03-14,-0.5,-3.9,2.5,0.0,0.0,78.8,10.8,29.5,1023.6,36.0
72,2015-03-15,1.6,-1.3,6.0,0.0,0.0,72.5,11.9,29.5,1022.5,360.0
73,2015-03-16,5.5,-1.8,13.0,0.0,0.0,97.9,7.9,24.1,1021.4,396.0
74,2015-03-17,9.0,2.6,15.1,0.0,0.0,62.5,8.6,25.6,1021.9,606.0
75,2015-03-18,9.0,3.8,14.8,0.0,0.0,265.4,10.4,28.1,1023.5,600.0
76,2015-03-19,7.7,3.0,12.6,0.0,,165.0,9.4,24.5,1023.8,510.0
77,2015-03-20,6.3,1.2,12.5,0.0,,69.6,7.6,27.4,1022.2,666.0
78,2015-03-21,4.4,1.0,9.2,0.1,0.0,262.5,15.5,40.3,1017.0,126.0
79,2015-03-22,1.9,-0.1,4.1,0.0,0.0,70.8,18.4,48.6,1019.8,0.0
80,2015-03-23,3.8,0.6,8.7,0.0,0.0,124.6,8.6,26.3,1016.0,330.0
81,2015-03-24,6.7,0.0,14.0,0.4,0.0,173.3,9.0,29.9,1008.1,486.0
82,2015-03-25,5.4,1.4,12.2,0.2,0.0,245.8,16.9,47.5,1004.7,294.0
83,2015-03-26,1.6,0.5,3.4,5.3,0.0,265.8,16.6,44.3,1010.7,0.0
84,2015-03-27,2.7,-0.6,6.9,0.0,0.0,270.8,19.1,47.9,1019.9,246.0
85,2015-03-28,4.0,-0.9,9.9,3.1,0.0,247.9,13.3,40.7,1021.7,372.0
86,2015-03-29,6.2,5.4,6.9,60.4,0.0,,25.9,91.8,1009.3,0.0
87,2015-03-30,4.4,1.8,5.8,6.7,0.0,274.2,34.6,79.2,1008.5,66.0
88,2015-03-31,5.6,1.8,8.8,26.8,0.0,261.3,38.2,100.4,1008.7,6.0
89,2015-04-01,0.7,-1.1,2.9,5.2,80.0,274.6,32.4,75.2,1021.7,174.0
90,2015-04-02,0.9,-1.7,2.4,23.0,70.0,267.1,24.8,63.4,1019.0,6.0
91,2015-04-03,2.1,-4.0,7.7,3.7,50.0,235.8,9.4,23.8,1020.9,510.0
92,2015-04-04,0.5,-0.5,1.5,8.5,20.0,80.4,8.3,34.9,1015.2,0.0
93,2015-04-05,0.0,-2.9,3.5,0.0,50.0,40.4,14.0,45.0,1022.4,366.0
94,2015-04-06,0.5,-4.2,4.0,0.0,30.0,322.5,12.2,36.7,1029.0,198.0
95,2015-04-07,2.1,-2.6,7.9,0.0,20.0,102.5,9.0,29.5,1035.7,732.0
96,2015-04-08,6.2,-1.9,12.6,0.0,10.0,139.6,7.6,24.1,1032.2,744.0
97,2015-04-09,9.5,2.1,16.4,0.0,0.0,151.7,9.4,26.3,1026.8,738.0
98,2015-04-10,12.1,4.1,19.1,0.1,0.0,235.8,10.4,33.1,1021.7,672.0
99,2015-04-11,9.6,7.5,12.0,0.1,0.0,244.6,17.3,47.2,1024.1,204.0
100,2015-04-12,10.3,6.3,15.6,0.0,0.0,261.3,10.4,28.1,1029.1,540.0
101,2015-04-13,10.4,5.6,14.9,0.0,0.0,275.0,20.2,48.6,1029.7,636.0
102,2015-04-14,11.0,3.5,17.6,0.0,0.0,270.8,12.2,31.7,1028.6,708.0
103,2015-04-15,15.6,7.2,22.2,0.0,0.0,225.8,11.9,33.8,1018.9,726.0
104,2015-04-16,14.5,11.2,18.1,0.4,0.0,247.9,15.8,36.4,1013.8,186.0
105,2015-04-17,9.0,2.3,13.1,10.3,0.0,249.2,14.8,35.6,1014.3,42.0
106,2015-04-18,4.2,0.3,9.1,0.0,0.0,65.0,15.5,46.1,1022.9,618.0
107,2015-04-19,6.4,-0.7,13.5,0.0,0.0,80.8,15.8,38.2,1020.0,786.0
108,2015-04-20,9.5,3.1,15.4,0.0,0.0,68.3,11.2,32.0,1024.2,786.0
109,2015-04-21,12.0,5.4,18.4,0.0,0.0,81.7,9.0,27.7,1027.5,792.0
110,2015-04-22,11.6,3.0,18.8,0.0,0.0,251.7,11.9,38.5,1023.2,792.0
111,2015-04-23,7.1,0.2,14.2,0.0,0.0,74.2,10.1,28.8,1018.4,798.0
112,2015-04-24,10.7,1.4,17.6,0.0,0.0,223.8,10.4,32.4,1014.4,780.0
113,2015-04-25,10.8,6.9,14.9,2.2,0.0,217.1,15.5,51.1,1011.4,102.0
114,2015-04-26,12.9,8.5,18.0,0.6,0.0,229.6,12.6,33.5,1007.4,570.0
115,2015-04-27,11.1,4.4,16.8,7.8,0.0,252.1,12.2,37.8,1002.1,96.0
116,2015-04-28,4.5,0.0,8.1,0.0,0.0,291.7,18.4,43.6,1016.4,174.0
117,2015-04-29,6.9,0.0,13.1,0.0,0.0,166.7,10.4,31.0,1018.5,666.0
118,2015-04-30,7.2,4.1,11.9,14.9,0.0,247.5,15.1,45.7,1015.8,402.0
119,2015-05-01,5.9,5.0,6.8,34.5,,125.8,9.0,25.2,1007.8,0.0
120,2015-05-02,8.4,5.9,11.0,18.8,,241.7,8.6,25.9,1011.0,12.0
121,2015-05-03,12.0,8.1,14.3,15.9,,224.6,13.0,51.5,1007.3,0.0
122,2015-05-04,15.0,11.4,19.9,0.3,,210.0,12.6,41.0,1009.1,294.0
123,2015-05-05,15.6,10.5,20.2,0.4,,221.7,17.3,51.1,1007.0,186.0
124,2015-05-06,11.0,6.8,15.5,0.0,,253.8,14.4,46.1,1015.8,252.0
125,2015-05-07,9.8,6.4,15.0,0.0,,,11.5,,1019.8,594.0
126,2015-05-08,12.8,4.3,19.7,0.4,,196.7,11.2,38.5,1015.4,606.0
127,2015-05-09,12.0,8.7,16.3,0.0,,260.8,16.6,47.9,1021.2,270.0
128,2015-05-10,12.9,8.0,18.0,0.0,,262.9,11.9,34.6,1026.5,624.0
129,2015-05-11,16.7,8.8,23.7,0.0,,191.3,10.1,26.6,1022.7,762.0
130,2015-05-12,20.1,13.3,25.9,0.0,,236.7,14.4,45.0,1018.0,648.0
131,2015-05-13,15.4,8.8,21.6,1.5,,232.9,11.2,39.2,1016.4,666.0
132,2015-05-14,12.1,8.9,15.7,11.8,,268.3,9.7,43.2,1011.5,48.0
133,2015-05-15,8.0,4.8,12.4,3.8,,241.3,16.2,41.0,1014.6,66.0
134,2015-05-16,11.5,5.8,15.8,0.1,,282.5,15.1,36.4,1023.2,534.0
135,2015-05-17,10.9,5.5,15.8,0.0,,288.3,13.0,33.5,1024.2,570.0
136,2015-05-18,13.1,5.0,19.4,0.0,,232.5,11.9,39.2,1012.2,852.0
137,2015-05-19,9.3,6.3,12.3,0.1,,266.3,13.0,37.8,1010.5,30.0
138,2015-05-20,6.3,4.3,9.3,1.6,,268.8,14.8,39.2,1016.0,102.0
139,2015-05-21,7.4,2.8,12.6,0.0,,235.8,13.7,42.8,1024.2,444.0
140,2015-05-22,9.5,2.7,14.9,0.0,,108.8,11.9,34.6,1024.4,810.0
141,2015-05-23,11.4,5.8,16.1,0.0,,75.8,14.8,47.5,1018.8,384.0
142,2015-05-24,12.7,9.9,16.4,0.0,,103.8,9.7,27.0,1017.6,144.0
143,2015-05-25,11.8,7.8,17.0,2.8,,262.5,13.7,38.9,1014.7,168.0
144,2015-05-26,8.2,5.4,10.3,0.1,,287.1,10.1,34.2,1018.8,60.0
145,2015-05-27,8.0,2.5,13.1,0.0,,282.5,8.6,23.0,1023.4,210.0
146,2015-05-28,11.2,2.3,17.5,0.0,,230.0,13.3,37.8,1017.5,588.0
147,2015-05-29,12.6,8.2,18.3,0.8,,248.8,13.0,51.1,1012.6,360.0
148,2015-05-30,9.9,5.6,12.7,0.2,,264.2,13.7,45.0,1016.2,192.0
149,2015-05-31,13.5,5.8,18.2,0.1,,232.5,12.2,35.3,1015.9,558.0
150,2015-06-01,13.4,10.2,17.1,0.3,,253.3,13.7,45.4,1016.4,199.0
151,2015-06-02,16.3,10.2,22.6,0.0,,239.6,14.8,51.5,1017.5,525.0
152,2015-06-03,18.2,12.2,24.0,0.0,,266.7,15.1,45.7,1021.4,803.0
153,2015-06-04,18.6,10.0,25.5,0.0,,105.8,8.6,24.5,1023.3,830.0
154,2015-06-05,22.6,14.6,29.3,4.4,,114.6,10.1,37.8,1018.7,596.0
155,2015-06-06,22.0,15.0,27.9,0.0,,266.7,14.0,52.9,1020.6,752.0
156,2015-06-07,19.2,15.1,24.7,17.8,,110.8,10.8,35.6,1023.5,569.0
157,2015-06-08,12.0,9.2,16.4,2.0,,127.5,12.2,39.2,1023.2,8.0
158,2015-06-09,9.1,8.3,10.0,0.0,,61.3,16.2,37.1,1023.4,0.0
159,2015-06-10,10.9,8.6,13.3,0.0,,80.4,12.6,28.8,1022.3,0.0
160,2015-06-11,15.4,10.2,21.9,5.2,,94.2,8.6,21.2,1017.3,296.0
161,2015-06-12,17.3,12.5,25.7,2.0,,180.8,10.1,39.6,1011.6,468.0
162,2015-06-13,15.8,11.2,20.2,0.0,,238.8,12.2,38.5,1011.7,388.0
163,2015-06-14,17.1,11.4,22.0,0.1,,148.8,9.0,28.1,1009.6,412.0
164,2015-06-15,14.6,12.3,17.9,7.6,,235.4,10.1,29.5,1014.7,0.0
165,2015-06-16,13.1,10.6,15.5,0.0,,109.6,8.6,28.1,1019.6,19.0
166,2015-06-17,12.4,6.9,17.9,0.0,,139.6,10.8,28.4,1022.1,463.0
167,2015-06-18,11.8,9.1,13.9,7.3,,261.7,17.3,49.3,1018.0,2.0
168,2015-06-19,10.3,8.1,13.2,0.4,,273.3,13.3,38.2,1018.6,121.0
169,2015-06-20,8.5,5.8,11.3,1.7,,285.4,13.3,31.7,1020.7,30.0
170,2015-06-21,11.6,6.8,16.7,9.7,,250.4,12.6,46.1,1018.3,131.0
171,2015-06-22,12.4,7.9,14.8,15.4,,253.8,16.6,77.8,1012.2,5.0
172,2015-06-23,8.7,6.4,12.2,1.0,,273.3,20.2,57.6,1015.2,272.0
173,2015-06-24,12.2,5.7,17.7,0.0,,179.6,7.2,20.5,1021.7,531.0
174,2015-06-25,14.6,7.3,21.4,0.0,,235.0,8.3,27.7,1022.6,672.0
175,2015-06-26,16.8,9.1,22.8,0.0,,273.3,6.1,22.3,1020.8,501.0
176,2015-06-27,16.8,12.1,21.1,2.4,,246.7,16.6,49.7,1018.1,374.0
177,2015-06-28,16.3,10.3,22.3,0.0,,167.5,7.6,22.3,1021.0,597.0
178,2015-06-29,18.5,10.5,24.5,0.0,,245.4,10.8,36.4,1020.7,387.0
179,2015-06-30,21.2,13.2,26.9,0.0,,132.5,9.0,24.8,1019.0,903.0
180,2015-07-01,23.4,14.3,29.4,0.0,,89.6,9.7,24.8,1017.5,906.0
181,2015-07-02,25.2,16.5,32.1,0.0,,112.1,9.0,25.9,1018.8,808.0
182,2015-07-03,25.3,20.5,31.6,0.0,,195.0,10.4,30.6,1021.5,495.0
183,2015-07-04,27.1,18.1,33.2,0.0,,222.5,11.5,32.8,1018.9,776.0
184,2015-07-05,27.8,18.8,33.6,0.8,,189.2,13.3,57.2,1014.6,783.0
185,2015-07-06,21.0,15.2,26.7,0.0,,253.8,11.5,43.9,1019.4,689.0
186,2015-07-07,23.7,14.8,31.7,3.9,,197.5,13.7,47.2,1011.2,687.0
187,2015-07-08,15.3,12.0,18.4,0.2,,278.3,22.7,54.4,1014.3,180.0
188,2015-07-09,12.6,8.3,16.4,1.6,,279.2,16.9,46.1,1020.6,254.0
189,2015-07-10,15.3,6.4,22.6,0.0,,96.7,9.4,22.3,1021.3,900.0
190,2015-07-11,20.9,10.9,26.7,0.0,,228.8,18.0,52.9,1015.9,853.0
191,2015-07-12,18.6,15.0,22.9,0.0,,277.5,17.3,40.0,1018.2,593.0
192,2015-07-13,16.7,13.9,20.4,0.0,,273.8,14.8,41.4,1018.7,86.0
193,2015-07-14,18.8,15.1,23.3,0.0,,280.0,16.6,43.6,1018.1,439.0
194,2015-07-15,20.4,12.5,27.8,0.0,,215.8,6.5,25.9,1018.4,660.0
195,2015-07-16,23.2,14.2,30.2,0.0,,195.8,7.6,31.3,1016.1,765.0
196,2015-07-17,25.5,17.8,32.0,1.9,,214.2,14.8,45.0,1014.7,784.0
197,2015-07-18,20.7,16.8,25.4,0.3,,244.2,12.6,48.6,1016.8,409.0
198,2015-07-19,20.3,16.0,25.6,5.2,,237.5,17.3,57.2,1012.2,356.0
199,2015-07-20,20.7,15.7,26.2,0.0,,266.3,11.5,33.5,1014.6,581.0
200,2015-07-21,22.7,16.5,29.2,0.0,,263.8,11.2,28.1,1014.8,857.0
201,2015-07-22,23.2,17.0,30.7,8.9,,204.2,10.1,40.3,1013.0,501.0
202,2015-07-23,18.1,14.5,21.3,0.0,,210.8,7.6,27.7,1015.8,130.0
203,2015-07-24,20.5,12.3,28.6,13.1,,182.1,9.4,41.0,1009.2,695.0
204,2015-07-25,14.4,8.4,18.1,0.2,,252.5,24.5,71.3,1012.0,389.0
205,2015-07-26,13.1,7.1,20.1,1.5,,197.9,9.7,36.4,1013.7,563.0
206,2015-07-27,14.2,11.7,17.8,4.2,,250.8,18.4,59.0,1007.9,198.0
207,2015-07-28,14.2,9.5,17.7,1.2,,265.4,17.6,50.4,1010.3,144.0
208,2015-07-29,10.8,8.7,13.3,0.8,,255.4,13.3,47.5,1012.6,199.0
209,2015-07-30,12.2,7.7,17.2,0.0,,257.5,13.0,38.5,1016.5,274.0
210,2015-07-31,13.8,6.4,20.0,0.0,,106.3,10.8,31.3,1016.2,753.0
211,2015-08-01,15.5,11.4,20.4,0.0,,199.6,10.4,37.4,1014.5,60.0
212,2015-08-02,18.4,10.5,25.3,0.0,,165.4,11.2,31.0,1017.7,772.0
213,2015-08-03,21.3,12.2,28.7,0.0,,192.1,8.3,25.2,1015.6,844.0
214,2015-08-04,18.5,12.5,24.4,4.0,,225.4,13.0,65.2,1015.8,203.0
215,2015-08-05,19.4,11.7,27.1,0.0,,124.6,8.3,25.9,1016.6,545.0
